"LOCATION","Country","TYPE","Type","SKILLS","Skills","TIME","Time","Value","Flag Codes","Flags"
"AUS","Australia","AB","Abilities","1A4B","Auditory and Speech Abilities","2015","2015",0.104,,
"AUS","Australia","AB","Abilities","1A4","Sensory Abilities","2015","2015",0.077,,
"AUS","Australia","WS","Workstyles","1C1A","Achievement/Effort","2015","2015",0.217,,
"AUS","Australia","WS","Workstyles","1C1B","Persistence","2015","2015",0.294,,
"AUS","Australia","WS","Workstyles","1C1C","Initiative","2015","2015",0.305,,
"AUS","Australia","WS","Workstyles","1C1","Achievement Orientation","2015","2015",0.272,,
"AUS","Australia","WS","Workstyles","1C2B","Leadership","2015","2015",0.458,,
"AUS","Australia","WS","Workstyles","1C2","Social Influence","2015","2015",0.458,,
"AUS","Australia","WS","Workstyles","1C3A","Cooperation","2015","2015",0.205,,
"AUS","Australia","WS","Workstyles","1C3B","Concern for Others","2015","2015",0.378,,
"AUS","Australia","WS","Workstyles","1C3C","Social Orientation","2015","2015",0.334,,
"AUS","Australia","WS","Workstyles","1C3","Interpersonal Orientation","2015","2015",0.306,,
"AUS","Australia","WS","Workstyles","1C4A","Self Control","2015","2015",0.316,,
"AUS","Australia","WS","Workstyles","1C4B","Stress Tolerance","2015","2015",0.333,,
"AUS","Australia","WS","Workstyles","1C4C","Adaptability/Flexibility","2015","2015",0.329,,
"AUS","Australia","WS","Workstyles","1C4","Adjustment","2015","2015",0.326,,
"AUS","Australia","WS","Workstyles","1C5A","Dependability","2015","2015",0.274,,
"AUS","Australia","WS","Workstyles","1C5B","Attention to Detail","2015","2015",0.206,,
"AUS","Australia","WS","Workstyles","1C5C","Integrity","2015","2015",0.312,,
"AUS","Australia","WS","Workstyles","1C5","Conscientiousness","2015","2015",0.264,,
"AUS","Australia","WS","Workstyles","1C6","Independence","2015","2015",0.225,,
"AUS","Australia","WS","Workstyles","1C7A","Innovation","2015","2015",0.384,,
"AUS","Australia","WS","Workstyles","1C7B","Analytical Thinking","2015","2015",0.454,,
"AUS","Australia","WS","Workstyles","1C7","Practical Intelligence","2015","2015",0.419,,
"AUS","Australia","SK","Skills","2A1A","Reading Comprehension","2015","2015",0.259,,
"AUS","Australia","SK","Skills","2A1B","Active Listening","2015","2015",0.237,,
"AUS","Australia","SK","Skills","2A1C","Writing","2015","2015",0.255,,
"AUS","Australia","SK","Skills","2A1D","Speaking","2015","2015",0.252,,
"AUS","Australia","SK","Skills","2A1E","Mathematics Skills","2015","2015",0.139,,
"AUS","Australia","SK","Skills","2A1F","Science","2015","2015",0.162,,
"AUS","Australia","SK","Skills","2A1","Basic Skills (Content)","2015","2015",0.217,,
"AUS","Australia","SK","Skills","2A2A","Critical Thinking","2015","2015",0.24,,
"AUS","Australia","SK","Skills","2A2B","Active Learning","2015","2015",0.276,,
"AUS","Australia","SK","Skills","2A2C","Learning Strategies","2015","2015",0.364,,
"AUS","Australia","SK","Skills","2A2D","Monitoring","2015","2015",0.241,,
"AUS","Australia","SK","Skills","2A2","Basic Skills (Process)","2015","2015",0.28,,
"AUS","Australia","SK","Skills","2B1A","Social Perceptiveness","2015","2015",0.253,,
"AUS","Australia","SK","Skills","2B1B","Coordination","2015","2015",0.17,,
"AUS","Australia","SK","Skills","2B1C","Persuasion","2015","2015",0.144,,
"AUS","Australia","SK","Skills","2B1D","Negotiation","2015","2015",0.144,,
"AUS","Australia","SK","Skills","2B1E","Instructing","2015","2015",0.306,,
"AUS","Australia","SK","Skills","2B1F","Service Orientation","2015","2015",0.187,,
"AUS","Australia","SK","Skills","2B1","Social Skills","2015","2015",0.201,,
"AUS","Australia","SK","Skills","2B2I","Complex Problem Solving","2015","2015",0.219,,
"AUS","Australia","SK","Skills","2B2","Complex Problem Solving Skills","2015","2015",0.219,,
"AUS","Australia","SK","Skills","2B3A","Operations Analysis","2015","2015",0.122,,
"AUS","Australia","SK","Skills","2B3B","Technology Design","2015","2015",0.034,,
"AUS","Australia","SK","Skills","2B3C","Equipment Selection","2015","2015",0.007,,
"AUS","Australia","SK","Skills","2B3D","Installation","2015","2015",0.026,,
"AUS","Australia","SK","Skills","2B3E","Programming","2015","2015",-0.006,,
"AUS","Australia","SK","Skills","2B3G","Operation Monitoring","2015","2015",-0.011,,
"AUS","Australia","SK","Skills","2B3H","Operation and Control","2015","2015",-0.042,,
"AUS","Australia","SK","Skills","2B3J","Equipment Maintenance","2015","2015",-0.027,,
"AUS","Australia","SK","Skills","2B3K","Troubleshooting","2015","2015",0.004,,
"AUS","Australia","SK","Skills","2B3L","Repairing","2015","2015",0,,
"AUS","Australia","SK","Skills","2B3M","Quality Control Analysis","2015","2015",0.022,,
"AUS","Australia","SK","Skills","2B3","Technical Skills","2015","2015",0.012,,
"AUS","Australia","SK","Skills","2B4E","Judgment and Decision Making","2015","2015",0.247,,
"AUS","Australia","SK","Skills","2B4G","Systems Analysis","2015","2015",0.198,,
"AUS","Australia","SK","Skills","2B4H","Systems Evaluation","2015","2015",0.234,,
"AUS","Australia","SK","Skills","2B4","Systems Skills","2015","2015",0.227,,
"AUS","Australia","SK","Skills","2B5A","Time Management","2015","2015",0.197,,
"AUS","Australia","SK","Skills","2B5B","Management of Financial Resources","2015","2015",0.039,,
"AUS","Australia","SK","Skills","2B5C","Management of Material Resources","2015","2015",0.058,,
"AUS","Australia","SK","Skills","2B5D","Management of Personnel Resources","2015","2015",0.173,,
"AUS","Australia","SK","Skills","2B5","Resource Management Skills","2015","2015",0.117,,
"AUS","Australia","KN","Knowledge","2C10","Transportation","2015","2015",0.008,,
"AUS","Australia","KN","Knowledge","2C1A","Administration and Management","2015","2015",0.155,,
"AUS","Australia","KN","Knowledge","2C1B","Clerical","2015","2015",0.124,,
"AUS","Australia","KN","Knowledge","2C1C","Economics and Accounting","2015","2015",0.044,,
"AUS","Australia","KN","Knowledge","2C1D","Sales and Marketing","2015","2015",-0.097,,
"AUS","Australia","KN","Knowledge","2C1E","Customer and Personal Service","2015","2015",0.168,,
"AUS","Australia","KN","Knowledge","2C1F","Personnel and Human Resources","2015","2015",0.107,,
"AUS","Australia","KN","Knowledge","2C1","Business and Management","2015","2015",0.073,,
"AUS","Australia","KN","Knowledge","2C2A","Production and Processing","2015","2015",-0.156,,
"AUS","Australia","KN","Knowledge","2C2B","Food Production","2015","2015",0,,
"AUS","Australia","KN","Knowledge","2C2","Manufacturing and Production","2015","2015",-0.078,,
"AUS","Australia","KN","Knowledge","2C3A","Computers and Electronics","2015","2015",0.182,,
"AUS","Australia","KN","Knowledge","2C3B","Engineering, Mechanics and Technology","2015","2015",0.013,,
"AUS","Australia","KN","Knowledge","2C3C","Design","2015","2015",0.096,,
"AUS","Australia","KN","Knowledge","2C3D","Building and Construction","2015","2015",0.147,,
"AUS","Australia","KN","Knowledge","2C3E","Mechanical","2015","2015",0.013,,
"AUS","Australia","KN","Knowledge","2C3","Engineering and Technology","2015","2015",0.09,,
"AUS","Australia","KN","Knowledge","2C4A","Mathematics Knowledge","2015","2015",0.183,,
"AUS","Australia","KN","Knowledge","2C4B","Physics","2015","2015",0.089,,
"AUS","Australia","KN","Knowledge","2C4C","Chemistry","2015","2015",0.092,,
"AUS","Australia","KN","Knowledge","2C4D","Biology","2015","2015",0.217,,
"AUS","Australia","KN","Knowledge","2C4E","Psychology","2015","2015",0.464,,
"AUS","Australia","KN","Knowledge","2C4F","Sociology and Anthropology","2015","2015",0.3,,
"AUS","Australia","KN","Knowledge","2C4G","Geography","2015","2015",0.207,,
"AUS","Australia","KN","Knowledge","2C4","Mathematics and Science","2015","2015",0.222,,
"AUS","Australia","KN","Knowledge","2C5A","Medicine and Dentistry","2015","2015",0.25,,
"AUS","Australia","KN","Knowledge","2C5B","Therapy and Counselling","2015","2015",0.317,,
"AUS","Australia","KN","Knowledge","2C5","Health Services","2015","2015",0.284,,
"AUS","Australia","KN","Knowledge","2C6","Education and Training","2015","2015",0.492,,
"AUS","Australia","KN","Knowledge","2C7C","Fine Arts","2015","2015",0.134,,
"AUS","Australia","KN","Knowledge","2C7D","History and Archaeology","2015","2015",0.19,,
"AUS","Australia","KN","Knowledge","2C7E","Philosophy and Theology","2015","2015",0.234,,
"AUS","Australia","KN","Knowledge","2C7","Arts and Humanities","2015","2015",0.186,,
"AUS","Australia","KN","Knowledge","2C8A","Public Safety and Security","2015","2015",0.174,,
"AUS","Australia","KN","Knowledge","2C8B","Law and Government","2015","2015",0.209,,
"AUS","Australia","KN","Knowledge","2C8","Law and Public Safety","2015","2015",0.192,,
"AUS","Australia","KN","Knowledge","2C9A","Telecommunications","2015","2015",0.058,,
"AUS","Australia","KN","Knowledge","2C9B","Communications and Media","2015","2015",0.164,,
"AUS","Australia","KN","Knowledge","2C9","Communications","2015","2015",0.111,,
"AUT","Austria","AB","Abilities","1A1A1","Oral Comprehension","2015","2015",0.193,,
"AUT","Austria","AB","Abilities","1A1A2","Written Comprehension","2015","2015",0.359,,
"AUT","Austria","AB","Abilities","1A1A3","Oral Expression","2015","2015",0.237,,
"AUT","Austria","AB","Abilities","1A1A4","Written Expression","2015","2015",0.351,,
"AUT","Austria","AB","Abilities","1A1A","Verbal Abilities","2015","2015",0.285,,
"AUT","Austria","AB","Abilities","1A1B1","Fluency of Ideas","2015","2015",0.202,,
"AUT","Austria","AB","Abilities","1A1B2","Originality","2015","2015",0.193,,
"AUT","Austria","AB","Abilities","1A1B3","Problem Sensitivity","2015","2015",0.195,,
"AUT","Austria","AB","Abilities","1A1B4","Deductive Reasoning","2015","2015",0.249,,
"AUT","Austria","AB","Abilities","1A1B5","Inductive Reasoning","2015","2015",0.249,,
"AUT","Austria","AB","Abilities","1A1B6","Information Ordering","2015","2015",0.17,,
"AUT","Austria","AB","Abilities","1A1B7","Category Flexibility","2015","2015",0.123,,
"AUT","Austria","AB","Abilities","1A1B","Reasoning Abilities","2015","2015",0.197,,
"AUT","Austria","AB","Abilities","1A1C1","Mathematical Reasoning","2015","2015",0.198,,
"AUT","Austria","AB","Abilities","1A1C2","Number Facility","2015","2015",0.162,,
"AUT","Austria","AB","Abilities","1A1C","Quantitative Abilities","2015","2015",0.18,,
"AUT","Austria","AB","Abilities","1A1D1","Memorization","2015","2015",0.131,,
"AUT","Austria","AB","Abilities","1A1D","Memory","2015","2015",0.131,,
"AUT","Austria","AB","Abilities","1A1E1","Speed of Closure","2015","2015",0.146,,
"AUT","Austria","AB","Abilities","1A1E2","Flexibility of Closure","2015","2015",0.128,,
"AUT","Austria","AB","Abilities","1A1E3","Perceptual Speed","2015","2015",0.058,,
"AUT","Austria","AB","Abilities","1A1E","Perceptual Abilities","2015","2015",0.111,,
"AUT","Austria","AB","Abilities","1A1F1","Spatial Orientation","2015","2015",-0.121,,
"AUT","Austria","AB","Abilities","1A1F2","Visualization","2015","2015",0.006,,
"AUT","Austria","AB","Abilities","1A1F","Spatial Abilities","2015","2015",-0.058,,
"AUT","Austria","AB","Abilities","1A1G1","Selective Attention","2015","2015",0.057,,
"AUT","Austria","AB","Abilities","1A1G2","Time Sharing","2015","2015",0.022,,
"AUT","Austria","AB","Abilities","1A1G","Attentiveness","2015","2015",0.04,,
"AUT","Austria","AB","Abilities","1A1","Cognitive Abilities","2015","2015",0.157,,
"AUT","Austria","AB","Abilities","1A2A1","Arm-Hand Steadiness","2015","2015",-0.179,,
"AUT","Austria","AB","Abilities","1A2A2","Manual Dexterity","2015","2015",-0.229,,
"AUT","Austria","AB","Abilities","1A2A3","Finger Dexterity","2015","2015",-0.048,,
"AUT","Austria","AB","Abilities","1A2A","Fine Manipulative Abilities","2015","2015",-0.152,,
"AUT","Austria","AB","Abilities","1A2B1","Control Precision","2015","2015",-0.223,,
"AUT","Austria","AB","Abilities","1A2B2","Multilimb Coordination","2015","2015",-0.304,,
"AUT","Austria","AB","Abilities","1A2B3","Response Orientation","2015","2015",-0.135,,
"AUT","Austria","AB","Abilities","1A2B4","Rate Control","2015","2015",-0.165,,
"AUT","Austria","AB","Abilities","1A2B","Control Movement Abilities","2015","2015",-0.207,,
"AUT","Austria","AB","Abilities","1A2C1","Reaction Time","2015","2015",-0.165,,
"AUT","Austria","AB","Abilities","1A2C2","Wrist-Finger Speed","2015","2015",-0.061,,
"AUT","Austria","AB","Abilities","1A2C3","Speed of Limb Movement","2015","2015",-0.173,,
"AUT","Austria","AB","Abilities","1A2C","Reaction Time and Speed Abilities","2015","2015",-0.133,,
"AUT","Austria","AB","Abilities","1A2","Psychomotor Abilities","2015","2015",-0.168,,
"AUT","Austria","AB","Abilities","1A3A1","Static Strength","2015","2015",-0.32,,
"AUT","Austria","AB","Abilities","1A3A2","Explosive Strength","2015","2015",-0.001,,
"AUT","Austria","AB","Abilities","1A3A3","Dynamic Strength","2015","2015",-0.187,,
"AUT","Austria","AB","Abilities","1A3A4","Trunk Strength","2015","2015",-0.307,,
"AUT","Austria","AB","Abilities","1A3A","Physical Strength","2015","2015",-0.204,,
"AUT","Austria","AB","Abilities","1A3B1","Stamina","2015","2015",-0.24,,
"AUT","Austria","AB","Abilities","1A3B","Endurance","2015","2015",-0.24,,
"AUT","Austria","AB","Abilities","1A3C1","Extent Flexibility","2015","2015",-0.28,,
"AUT","Austria","AB","Abilities","1A3C2","Dynamic Flexibility","2015","2015",-0.024,,
"AUT","Austria","AB","Abilities","1A3C3","Gross Body Coordination","2015","2015",-0.183,,
"AUT","Austria","AB","Abilities","1A3C4","Gross Body Equilibrium","2015","2015",-0.103,,
"AUT","Austria","AB","Abilities","1A3C","Flexibility, Balance and Coordination","2015","2015",-0.148,,
"AUT","Austria","AB","Abilities","1A3","Strength and Flexibility","2015","2015",-0.183,,
"AUT","Austria","AB","Abilities","1A4A1","Near Vision","2015","2015",0.169,,
"AUT","Austria","AB","Abilities","1A4A2","Far Vision","2015","2015",-0.011,,
"AUT","Austria","AB","Abilities","1A4A3","Visual Color Discrimination","2015","2015",-0.04,,
"AUT","Austria","AB","Abilities","1A4A4","Night Vision","2015","2015",-0.078,,
"AUT","Austria","AB","Abilities","1A4A5","Peripheral Vision","2015","2015",-0.097,,
"AUT","Austria","AB","Abilities","1A4A6","Depth Perception","2015","2015",-0.204,,
"AUT","Austria","AB","Abilities","1A4A7","Glare Sensitivity","2015","2015",-0.092,,
"AUT","Austria","AB","Abilities","1A4A","Visual Abilities","2015","2015",-0.05,,
"AUT","Austria","AB","Abilities","1A4B1","Hearing Sensitivity","2015","2015",-0.04,,
"AUT","Austria","AB","Abilities","1A4B2","Auditory Attention","2015","2015",-0.047,,
"AUT","Austria","AB","Abilities","1A4B3","Sound Localization","2015","2015",-0.062,,
"AUT","Austria","AB","Abilities","1A4B4","Speech Recognition","2015","2015",0.143,,
"AUT","Austria","AB","Abilities","1A4B5","Speech Clarity","2015","2015",0.164,,
"AUT","Austria","AB","Abilities","1A4B","Auditory and Speech Abilities","2015","2015",0.032,,
"AUT","Austria","AB","Abilities","1A4","Sensory Abilities","2015","2015",-0.016,,
"AUT","Austria","WS","Workstyles","1C1A","Achievement/Effort","2015","2015",0.128,,
"AUT","Austria","WS","Workstyles","1C1B","Persistence","2015","2015",0.253,,
"AUT","Austria","WS","Workstyles","1C1C","Initiative","2015","2015",0.196,,
"AUT","Austria","WS","Workstyles","1C1","Achievement Orientation","2015","2015",0.192,,
"AUT","Austria","WS","Workstyles","1C2B","Leadership","2015","2015",0.223,,
"AUT","Austria","WS","Workstyles","1C2","Social Influence","2015","2015",0.223,,
"AUT","Austria","WS","Workstyles","1C3A","Cooperation","2015","2015",0.183,,
"AUT","Austria","WS","Workstyles","1C3B","Concern for Others","2015","2015",0.181,,
"AUT","Austria","WS","Workstyles","1C3C","Social Orientation","2015","2015",0.128,,
"AUT","Austria","WS","Workstyles","1C3","Interpersonal Orientation","2015","2015",0.164,,
"AUT","Austria","WS","Workstyles","1C4A","Self Control","2015","2015",0.08,,
"AUT","Austria","WS","Workstyles","1C4B","Stress Tolerance","2015","2015",0.159,,
"AUT","Austria","WS","Workstyles","1C4C","Adaptability/Flexibility","2015","2015",0.236,,
"AUT","Austria","WS","Workstyles","1C4","Adjustment","2015","2015",0.159,,
"AUT","Austria","WS","Workstyles","1C5A","Dependability","2015","2015",0.162,,
"AUT","Austria","WS","Workstyles","1C5B","Attention to Detail","2015","2015",0.173,,
"AUT","Austria","WS","Workstyles","1C5C","Integrity","2015","2015",0.322,,
"AUT","Austria","WS","Workstyles","1C5","Conscientiousness","2015","2015",0.219,,
"AUT","Austria","WS","Workstyles","1C6","Independence","2015","2015",0.164,,
"AUT","Austria","WS","Workstyles","1C7A","Innovation","2015","2015",0.265,,
"AUT","Austria","WS","Workstyles","1C7B","Analytical Thinking","2015","2015",0.407,,
"AUT","Austria","WS","Workstyles","1C7","Practical Intelligence","2015","2015",0.336,,
"AUT","Austria","SK","Skills","2A1A","Reading Comprehension","2015","2015",0.352,,
"AUT","Austria","SK","Skills","2A1B","Active Listening","2015","2015",0.242,,
"AUT","Austria","SK","Skills","2A1C","Writing","2015","2015",0.321,,
"AUT","Austria","SK","Skills","2A1D","Speaking","2015","2015",0.255,,
"AUT","Austria","SK","Skills","2A1E","Mathematics Skills","2015","2015",0.183,,
"AUT","Austria","SK","Skills","2A1F","Science","2015","2015",0.159,,
"AUT","Austria","SK","Skills","2A1","Basic Skills (Content)","2015","2015",0.252,,
"AUT","Austria","SK","Skills","2A2A","Critical Thinking","2015","2015",0.242,,
"AUT","Austria","SK","Skills","2A2B","Active Learning","2015","2015",0.253,,
"AUT","Austria","SK","Skills","2A2C","Learning Strategies","2015","2015",0.248,,
"AUT","Austria","SK","Skills","2A2D","Monitoring","2015","2015",0.149,,
"AUT","Austria","SK","Skills","2A2","Basic Skills (Process)","2015","2015",0.223,,
"AUT","Austria","SK","Skills","2B1A","Social Perceptiveness","2015","2015",0.165,,
"AUT","Austria","SK","Skills","2B1B","Coordination","2015","2015",0.073,,
"AUT","Austria","SK","Skills","2B1C","Persuasion","2015","2015",0.044,,
"AUT","Austria","SK","Skills","2B1D","Negotiation","2015","2015",0.061,,
"AUT","Austria","SK","Skills","2B1E","Instructing","2015","2015",0.183,,
"AUT","Austria","SK","Skills","2B1F","Service Orientation","2015","2015",0.123,,
"AUT","Austria","SK","Skills","2B1","Social Skills","2015","2015",0.108,,
"AUT","Austria","SK","Skills","2B2I","Complex Problem Solving","2015","2015",0.187,,
"AUT","Austria","SK","Skills","2B2","Complex Problem Solving Skills","2015","2015",0.187,,
"AUT","Austria","SK","Skills","2B3A","Operations Analysis","2015","2015",0.134,,
"AUT","Austria","SK","Skills","2B3B","Technology Design","2015","2015",0.059,,
"AUT","Austria","SK","Skills","2B3C","Equipment Selection","2015","2015",-0.032,,
"AUT","Austria","SK","Skills","2B3D","Installation","2015","2015",0.033,,
"AUT","Austria","SK","Skills","2B3E","Programming","2015","2015",0.096,,
"AUT","Austria","SK","Skills","2B3G","Operation Monitoring","2015","2015",-0.097,,
"AUT","Austria","SK","Skills","2B3H","Operation and Control","2015","2015",-0.194,,
"AUT","Austria","SK","Skills","2B3J","Equipment Maintenance","2015","2015",-0.088,,
"AUT","Austria","SK","Skills","2B3K","Troubleshooting","2015","2015",-0.075,,
"AUT","Austria","SK","Skills","2B3L","Repairing","2015","2015",-0.067,,
"AUT","Austria","SK","Skills","2B3M","Quality Control Analysis","2015","2015",-0.053,,
"AUT","Austria","SK","Skills","2B3","Technical Skills","2015","2015",-0.026,,
"AUT","Austria","SK","Skills","2B4E","Judgment and Decision Making","2015","2015",0.226,,
"AUT","Austria","SK","Skills","2B4G","Systems Analysis","2015","2015",0.223,,
"AUT","Austria","SK","Skills","2B4H","Systems Evaluation","2015","2015",0.205,,
"AUT","Austria","SK","Skills","2B4","Systems Skills","2015","2015",0.218,,
"AUT","Austria","SK","Skills","2B5A","Time Management","2015","2015",0.145,,
"AUT","Austria","SK","Skills","2B5B","Management of Financial Resources","2015","2015",-0.032,,
"AUT","Austria","SK","Skills","2B5C","Management of Material Resources","2015","2015",-0.024,,
"AUT","Austria","SK","Skills","2B5D","Management of Personnel Resources","2015","2015",0.039,,
"AUT","Austria","SK","Skills","2B5","Resource Management Skills","2015","2015",0.032,,
"AUT","Austria","KN","Knowledge","2C10","Transportation","2015","2015",-0.139,,
"AUT","Austria","KN","Knowledge","2C1A","Administration and Management","2015","2015",0.003,,
"AUT","Austria","KN","Knowledge","2C1B","Clerical","2015","2015",0.453,,
"AUT","Austria","KN","Knowledge","2C1C","Economics and Accounting","2015","2015",0.087,,
"AUT","Austria","KN","Knowledge","2C1D","Sales and Marketing","2015","2015",-0.135,,
"AUT","Austria","KN","Knowledge","2C1E","Customer and Personal Service","2015","2015",0.162,,
"AUT","Austria","KN","Knowledge","2C1F","Personnel and Human Resources","2015","2015",-0.007,,
"AUT","Austria","KN","Knowledge","2C1","Business and Management","2015","2015",0.06,,
"AUT","Austria","KN","Knowledge","2C2A","Production and Processing","2015","2015",-0.159,,
"AUT","Austria","KN","Knowledge","2C2B","Food Production","2015","2015",-0.285,,
"AUT","Austria","KN","Knowledge","2C2","Manufacturing and Production","2015","2015",-0.222,,
"AUT","Austria","KN","Knowledge","2C3A","Computers and Electronics","2015","2015",0.453,,
"AUT","Austria","KN","Knowledge","2C3B","Engineering, Mechanics and Technology","2015","2015",0.091,,
"AUT","Austria","KN","Knowledge","2C3C","Design","2015","2015",0.002,,
"AUT","Austria","KN","Knowledge","2C3D","Building and Construction","2015","2015",-0.152,,
"AUT","Austria","KN","Knowledge","2C3E","Mechanical","2015","2015",-0.101,,
"AUT","Austria","KN","Knowledge","2C3","Engineering and Technology","2015","2015",0.059,,
"AUT","Austria","KN","Knowledge","2C4A","Mathematics Knowledge","2015","2015",0.247,,
