"REGION","Region","TYPE","Type","SKILLS","Skills","TIME","Time","Value","Flag Codes","Flags"
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A1F2","Visualization","2015","2015",0.119,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A1F","Spatial Abilities","2015","2015",-0.009,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A1G1","Selective Attention","2015","2015",0.091,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A1G2","Time Sharing","2015","2015",0.069,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A1G","Attentiveness","2015","2015",0.08,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A1","Cognitive Abilities","2015","2015",0.379,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A2A1","Arm-Hand Steadiness","2015","2015",-0.335,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A2A2","Manual Dexterity","2015","2015",-0.412,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A2A3","Finger Dexterity","2015","2015",-0.154,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A2A","Fine Manipulative Abilities","2015","2015",-0.3,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A2B1","Control Precision","2015","2015",-0.319,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A2B2","Multilimb Coordination","2015","2015",-0.418,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A2B3","Response Orientation","2015","2015",-0.207,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A2B4","Rate Control","2015","2015",-0.199,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A2B","Control Movement Abilities","2015","2015",-0.286,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A2C1","Reaction Time","2015","2015",-0.226,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A2C2","Wrist-Finger Speed","2015","2015",-0.156,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A2C3","Speed of Limb Movement","2015","2015",-0.224,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A2C","Reaction Time and Speed Abilities","2015","2015",-0.202,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A2","Psychomotor Abilities","2015","2015",-0.265,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A3A1","Static Strength","2015","2015",-0.409,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A3A2","Explosive Strength","2015","2015",-0.01,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A3A3","Dynamic Strength","2015","2015",-0.243,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A3A4","Trunk Strength","2015","2015",-0.449,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A3A","Physical Strength","2015","2015",-0.278,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A3B1","Stamina","2015","2015",-0.306,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A3B","Endurance","2015","2015",-0.306,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A3C1","Extent Flexibility","2015","2015",-0.445,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A3C2","Dynamic Flexibility","2015","2015",-0.031,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A3C3","Gross Body Coordination","2015","2015",-0.27,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A3C4","Gross Body Equilibrium","2015","2015",-0.177,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A3C","Flexibility, Balance and Coordination","2015","2015",-0.231,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A3","Strength and Flexibility","2015","2015",-0.26,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A4A1","Near Vision","2015","2015",0.242,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A4A2","Far Vision","2015","2015",0.064,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A4A3","Visual Color Discrimination","2015","2015",-0.047,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A4A4","Night Vision","2015","2015",-0.089,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A4A5","Peripheral Vision","2015","2015",-0.099,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A4A6","Depth Perception","2015","2015",-0.132,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A4A7","Glare Sensitivity","2015","2015",-0.12,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A4A","Visual Abilities","2015","2015",-0.026,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A4B1","Hearing Sensitivity","2015","2015",-0.037,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A4B2","Auditory Attention","2015","2015",-0.051,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A4B3","Sound Localization","2015","2015",-0.093,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A4B4","Speech Recognition","2015","2015",0.294,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A4B5","Speech Clarity","2015","2015",0.344,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A4B","Auditory and Speech Abilities","2015","2015",0.091,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","AB","Abilities","1A4","Sensory Abilities","2015","2015",0.023,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","WS","Workstyles","1C1A","Achievement/Effort","2015","2015",0.511,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","WS","Workstyles","1C1B","Persistence","2015","2015",0.588,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","WS","Workstyles","1C1C","Initiative","2015","2015",0.625,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","WS","Workstyles","1C1","Achievement Orientation","2015","2015",0.575,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","WS","Workstyles","1C2B","Leadership","2015","2015",0.821,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","WS","Workstyles","1C2","Social Influence","2015","2015",0.821,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","WS","Workstyles","1C3A","Cooperation","2015","2015",0.207,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","WS","Workstyles","1C3B","Concern for Others","2015","2015",0.038,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","WS","Workstyles","1C3C","Social Orientation","2015","2015",0.101,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","WS","Workstyles","1C3","Interpersonal Orientation","2015","2015",0.115,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","WS","Workstyles","1C4A","Self Control","2015","2015",0.109,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","WS","Workstyles","1C4B","Stress Tolerance","2015","2015",0.378,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","WS","Workstyles","1C4C","Adaptability/Flexibility","2015","2015",0.447,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","WS","Workstyles","1C4","Adjustment","2015","2015",0.311,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","WS","Workstyles","1C5A","Dependability","2015","2015",0.211,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","WS","Workstyles","1C5B","Attention to Detail","2015","2015",0.323,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","WS","Workstyles","1C5C","Integrity","2015","2015",0.468,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","WS","Workstyles","1C5","Conscientiousness","2015","2015",0.334,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","WS","Workstyles","1C6","Independence","2015","2015",0.239,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","WS","Workstyles","1C7A","Innovation","2015","2015",0.507,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","WS","Workstyles","1C7B","Analytical Thinking","2015","2015",0.938,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","WS","Workstyles","1C7","Practical Intelligence","2015","2015",0.723,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","SK","Skills","2A1A","Reading Comprehension","2015","2015",0.641,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","SK","Skills","2A1B","Active Listening","2015","2015",0.492,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","SK","Skills","2A1C","Writing","2015","2015",0.621,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","SK","Skills","2A1D","Speaking","2015","2015",0.537,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","SK","Skills","2A1E","Mathematics Skills","2015","2015",0.464,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","SK","Skills","2A1F","Science","2015","2015",0.294,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","SK","Skills","2A1","Basic Skills (Content)","2015","2015",0.508,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","SK","Skills","2A2A","Critical Thinking","2015","2015",0.607,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","SK","Skills","2A2B","Active Learning","2015","2015",0.6,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","SK","Skills","2A2C","Learning Strategies","2015","2015",0.458,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","SK","Skills","2A2D","Monitoring","2015","2015",0.548,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","SK","Skills","2A2","Basic Skills (Process)","2015","2015",0.553,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","SK","Skills","2B1A","Social Perceptiveness","2015","2015",0.471,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","SK","Skills","2B1B","Coordination","2015","2015",0.452,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","SK","Skills","2B1C","Persuasion","2015","2015",0.458,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","SK","Skills","2B1D","Negotiation","2015","2015",0.43,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","SK","Skills","2B1E","Instructing","2015","2015",0.438,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","SK","Skills","2B1F","Service Orientation","2015","2015",0.242,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","SK","Skills","2B1","Social Skills","2015","2015",0.415,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","SK","Skills","2B2I","Complex Problem Solving","2015","2015",0.597,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","SK","Skills","2B2","Complex Problem Solving Skills","2015","2015",0.597,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","SK","Skills","2B3A","Operations Analysis","2015","2015",0.609,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","SK","Skills","2B3B","Technology Design","2015","2015",0.167,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","SK","Skills","2B3C","Equipment Selection","2015","2015",-0.073,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","SK","Skills","2B3D","Installation","2015","2015",-0.047,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","SK","Skills","2B3E","Programming","2015","2015",0.259,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","SK","Skills","2B3G","Operation Monitoring","2015","2015",0.001,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","SK","Skills","2B3H","Operation and Control","2015","2015",-0.2,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","SK","Skills","2B3J","Equipment Maintenance","2015","2015",-0.168,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","SK","Skills","2B3K","Troubleshooting","2015","2015",-0.054,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","SK","Skills","2B3L","Repairing","2015","2015",-0.164,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","SK","Skills","2B3M","Quality Control Analysis","2015","2015",0.059,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","SK","Skills","2B3","Technical Skills","2015","2015",0.035,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","SK","Skills","2B4E","Judgment and Decision Making","2015","2015",0.62,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","SK","Skills","2B4G","Systems Analysis","2015","2015",0.677,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","SK","Skills","2B4H","Systems Evaluation","2015","2015",0.694,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","SK","Skills","2B4","Systems Skills","2015","2015",0.664,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","SK","Skills","2B5A","Time Management","2015","2015",0.43,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","SK","Skills","2B5B","Management of Financial Resources","2015","2015",0.582,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","SK","Skills","2B5C","Management of Material Resources","2015","2015",0.413,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","SK","Skills","2B5D","Management of Personnel Resources","2015","2015",0.592,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","SK","Skills","2B5","Resource Management Skills","2015","2015",0.504,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","KN","Knowledge","2C10","Transportation","2015","2015",-0.112,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","KN","Knowledge","2C1A","Administration and Management","2015","2015",0.892,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","KN","Knowledge","2C1B","Clerical","2015","2015",0.444,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","KN","Knowledge","2C1C","Economics and Accounting","2015","2015",0.716,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","KN","Knowledge","2C1D","Sales and Marketing","2015","2015",0.492,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","KN","Knowledge","2C1E","Customer and Personal Service","2015","2015",0.393,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","KN","Knowledge","2C1F","Personnel and Human Resources","2015","2015",0.702,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","KN","Knowledge","2C1","Business and Management","2015","2015",0.504,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","KN","Knowledge","2C2A","Production and Processing","2015","2015",0.198,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","KN","Knowledge","2C2B","Food Production","2015","2015",-0.042,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","KN","Knowledge","2C2","Manufacturing and Production","2015","2015",0.078,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","KN","Knowledge","2C3A","Computers and Electronics","2015","2015",0.711,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","KN","Knowledge","2C3B","Engineering, Mechanics and Technology","2015","2015",0.281,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","KN","Knowledge","2C3C","Design","2015","2015",0.248,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","KN","Knowledge","2C3D","Building and Construction","2015","2015",-0.004,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","KN","Knowledge","2C3E","Mechanical","2015","2015",-0.155,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","KN","Knowledge","2C3","Engineering and Technology","2015","2015",0.216,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","KN","Knowledge","2C4A","Mathematics Knowledge","2015","2015",0.635,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","KN","Knowledge","2C4B","Physics","2015","2015",0.056,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","KN","Knowledge","2C4C","Chemistry","2015","2015",0.047,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","KN","Knowledge","2C4D","Biology","2015","2015",0.168,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","KN","Knowledge","2C4E","Psychology","2015","2015",0.392,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","KN","Knowledge","2C4F","Sociology and Anthropology","2015","2015",0.252,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","KN","Knowledge","2C4G","Geography","2015","2015",0.123,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","KN","Knowledge","2C4","Mathematics and Science","2015","2015",0.239,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","KN","Knowledge","2C5A","Medicine and Dentistry","2015","2015",0.224,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","KN","Knowledge","2C5B","Therapy and Counselling","2015","2015",0.186,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","KN","Knowledge","2C5","Health Services","2015","2015",0.205,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","KN","Knowledge","2C6","Education and Training","2015","2015",0.524,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","KN","Knowledge","2C7C","Fine Arts","2015","2015",0.018,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","KN","Knowledge","2C7D","History and Archaeology","2015","2015",0.03,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","KN","Knowledge","2C7E","Philosophy and Theology","2015","2015",0.111,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","KN","Knowledge","2C7","Arts and Humanities","2015","2015",0.053,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","KN","Knowledge","2C8A","Public Safety and Security","2015","2015",-0.001,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","KN","Knowledge","2C8B","Law and Government","2015","2015",0.453,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","KN","Knowledge","2C8","Law and Public Safety","2015","2015",0.226,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","KN","Knowledge","2C9A","Telecommunications","2015","2015",0.162,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","KN","Knowledge","2C9B","Communications and Media","2015","2015",0.354,,
"BE1","BE1: Reg -Bruxelles-Cap -/Brussels Hfdst -Gew -","KN","Knowledge","2C9","Communications","2015","2015",0.258,,
"BE2","BE2: Vlaams Gewest","AB","Abilities","1A1A1","Oral Comprehension","2015","2015",0.047,,
"BE2","BE2: Vlaams Gewest","AB","Abilities","1A1A2","Written Comprehension","2015","2015",0.026,,
"BE2","BE2: Vlaams Gewest","AB","Abilities","1A1A3","Oral Expression","2015","2015",0.088,,
"BE2","BE2: Vlaams Gewest","AB","Abilities","1A1A4","Written Expression","2015","2015",0.04,,
"BE2","BE2: Vlaams Gewest","AB","Abilities","1A1A","Verbal Abilities","2015","2015",0.05,,
"BE2","BE2: Vlaams Gewest","AB","Abilities","1A1B1","Fluency of Ideas","2015","2015",0.054,,
"BE2","BE2: Vlaams Gewest","AB","Abilities","1A1B2","Originality","2015","2015",0.072,,
"BE2","BE2: Vlaams Gewest","AB","Abilities","1A1B3","Problem Sensitivity","2015","2015",0.107,,
"BE2","BE2: Vlaams Gewest","AB","Abilities","1A1B4","Deductive Reasoning","2015","2015",0.071,,
"BE2","BE2: Vlaams Gewest","AB","Abilities","1A1B5","Inductive Reasoning","2015","2015",0.101,,
"BE2","BE2: Vlaams Gewest","AB","Abilities","1A1B6","Information Ordering","2015","2015",0.005,,
"BE2","BE2: Vlaams Gewest","AB","Abilities","1A1B7","Category Flexibility","2015","2015",0.002,,
"BE2","BE2: Vlaams Gewest","AB","Abilities","1A1B","Reasoning Abilities","2015","2015",0.059,,
"BE2","BE2: Vlaams Gewest","AB","Abilities","1A1C1","Mathematical Reasoning","2015","2015",-0.044,,
"BE2","BE2: Vlaams Gewest","AB","Abilities","1A1C2","Number Facility","2015","2015",-0.05,,
"BE2","BE2: Vlaams Gewest","AB","Abilities","1A1C","Quantitative Abilities","2015","2015",-0.047,,
"BE2","BE2: Vlaams Gewest","AB","Abilities","1A1D1","Memorization","2015","2015",0.022,,
"BE2","BE2: Vlaams Gewest","AB","Abilities","1A1D","Memory","2015","2015",0.022,,
"BE2","BE2: Vlaams Gewest","AB","Abilities","1A1E1","Speed of Closure","2015","2015",0.024,,
"BE2","BE2: Vlaams Gewest","AB","Abilities","1A1E2","Flexibility of Closure","2015","2015",0.012,,
"BE2","BE2: Vlaams Gewest","AB","Abilities","1A1E3","Perceptual Speed","2015","2015",-0.065,,
